User_ID,Product_ID,Rating
1,Laptop,5
1,Mouse,4
1,Keyboard,5
1,Headphones,4
1,Speaker,3
1,Monitor,5
1,Webcam,4
1,USB_Hub,3
1,SSD,5
1,GPU,4
2,Laptop,4
2,Headphones,5
2,Mouse,3
2,Keyboard,4
2,Speaker,4
2,Monitor,4
2,Webcam,5
2,USB_Hub,3
2,SSD,4
2,GPU,3
3,Mouse,5
3,Speaker,4
3,Keyboard,4
3,Laptop,3
3,Headphones,4
3,Monitor,3
3,Webcam,4
3,USB_Hub,5
3,SSD,3
3,GPU,2
4,Keyboard,5
4,Laptop,3
4,Headphones,4
4,Mouse,4
4,Speaker,2
4,Monitor,4
4,Webcam,3
4,USB_Hub,4
4,SSD,5
4,GPU,4
5,Headphones,4
5,Speaker,5
5,Laptop,4
5,Mouse,3
5,Keyboard,5
5,Monitor,5
5,Webcam,4
5,USB_Hub,2
5,SSD,4
5,GPU,5
6,Laptop,3
6,Mouse,5
6,Keyboard,3
6,Headphones,2
6,Speaker,4
6,Monitor,3
6,Webcam,5
6,USB_Hub,4
6,SSD,3
6,GPU,2
7,Laptop,5
7,Mouse,4
7,Keyboard,4
7,Headphones,5
7,Speaker,3
7,Monitor,5
7,Webcam,3
7,USB_Hub,4
7,SSD,5
7,GPU,5
8,Laptop,2
8,Mouse,3
8,Keyboard,4
8,Headphones,3
8,Speaker,5
8,Monitor,2
8,Webcam,4
8,USB_Hub,5
8,SSD,3
8,GPU,2
9,Laptop,4
9,Mouse,4
9,Keyboard,5
9,Headphones,4
9,Speaker,4
9,Monitor,4
9,Webcam,3
9,USB_Hub,3
9,SSD,4
9,GPU,4
10,Laptop,5
10,Mouse,3
10,Keyboard,4
10,Headphones,5
10,Speaker,2
10,Monitor,5
10,Webcam,2
10,USB_Hub,3
10,SSD,5
10,GPU,5
11,Laptop,3
11,Mouse,4
11,Keyboard,3
11,Headphones,4
11,Speaker,5
11,Monitor,3
11,Webcam,5
11,USB_Hub,4
11,SSD,3
11,GPU,3
12,Laptop,4
12,Mouse,5
12,Keyboard,5
12,Headphones,3
12,Speaker,4
12,Monitor,4
12,Webcam,4
12,USB_Hub,5
12,SSD,4
12,GPU,4
13,Laptop,5
13,Mouse,3
13,Keyboard,4
13,Headphones,5
13,Speaker,3
13,Monitor,5
13,Webcam,3
13,USB_Hub,2
13,SSD,5
13,GPU,5
14,Laptop,2
14,Mouse,4
14,Keyboard,5
14,Headphones,3
14,Speaker,4
14,Monitor,2
14,Webcam,5
14,USB_Hub,4
14,SSD,3
14,GPU,2
15,Laptop,4
15,Mouse,5
15,Keyboard,4
15,Headphones,4
15,Speaker,5
15,Monitor,4
15,Webcam,4
15,USB_Hub,3
15,SSD,4
15,GPU,4
